n,seed,T,variant,theta,cap,mc_draws,C_far_hat,C_J2_hat,mean_dH,mean_acc,frac_id
8,3,1.0,cap=3,0.0,3,10000,0.2913,0.4618,2.3461649365628605,0.8639721226394904,0.3064
8,3,1.0,cap=5,0.0,5,10000,0.3008,0.4713,2.591262975778547,0.9396753797544778,0.3064
8,3,0.3,faithful,0.0,,10000,0.2103,0.2191,2.9487063095778483,1.0,0.7797
8,3,0.3,theta=0.5,0.5,,10000,0.2103,0.2191,2.9487063095778483,1.0,0.7797
8,3,0.3,theta=1.0,1.0,,10000,0.2103,0.2191,2.946436677258284,0.9986559559168918,0.7797
8,3,0.3,theta=1.5,1.5,,10000,0.2103,0.2191,2.946436677258284,0.9986559559168918,0.7797
8,3,0.3,theta=2.0,2.0,,10000,0.0001,0.071,1.0013617793917386,0.008179549356289877,0.7797
8,3,0.3,cap=2,0.0,2,10000,0.0,0.0784,1.9918293236495688,0.04493872995313339,0.7797
8,3,0.3,cap=3,0.0,3,10000,0.2102,0.219,2.946890603722197,0.9986470882676286,0.7797
8,3,0.3,cap=5,0.0,5,10000,0.2103,0.2191,2.9487063095778483,1.0,0.7797
8,3,0.1,faithful,0.0,,10000,0.0052,0.0052,3.0,1.0,0.9948
8,3,0.1,theta=0.5,0.5,,10000,0.0052,0.0052,3.0,1.0,0.9948
8,3,0.1,theta=1.0,1.0,,10000,0.0052,0.0052,3.0,1.0,0.9948
8,3,0.1,theta=1.5,1.5,,10000,0.0052,0.0052,3.0,1.0,0.9948
8,3,0.1,theta=2.0,2.0,,10000,0.0,0.0019,1.0,1.3542708275921403e-24,0.9948
8,3,0.1,cap=2,0.0,2,10000,0.0,0.0017,2.0,2.7882043120874185e-24,0.9948
8,3,0.1,cap=3,0.0,3,10000,0.0052,0.0052,3.0,1.0,0.9948
8,3,0.1,cap=5,0.0,5,10000,0.0052,0.0052,3.0,1.0,0.9948
10,1,1.0,faithful,0.0,,10000,0.4724,0.5836,5.304828248858996,1.0,0.1674
10,1,1.0,theta=0.5,0.5,,10000,0.4727,0.5905,5.264592841700696,0.980160971977861,0.1674
10,1,1.0,theta=1.0,1.0,,10000,0.1178,0.2556,2.9567619505164546,0.2892624024267215,0.1674
10,1,1.0,theta=1.5,1.5,,10000,0.1011,0.2718,1.5515253423012252,0.2601081106534614,0.1674
10,1,1.0,theta=2.0,2.0,,10000,0.1006,0.272,1.527744415085275,0.2555952962568239,0.1674
