n,seed,regime,E_per_n,redraws,log2S,count_s,count_status,samples,aborts,empties,t_med,t_p90,censored
24,1,rand,0.2032,0,20.36,29.6,ok,8,0,0,0.186,0.993,0
32,1,rand,0.6822,0,27.32,225.3,ok,8,0,0,0.437,5.894,0
