n,seed,T_factor,budget_s,arm,n_atoms,cov_weighted,cov_unweighted,n_modes,shots,wall_s
16,3,0.55,2.0,quench,90,0.9989,0.75,12,128,3.78
16,3,0.55,2.0,solver,113,0.9995,0.75,12,0,2.01
16,3,0.55,2.0,pticm,370,1.0,1.0,12,0,2.0
16,3,0.55,2.0,greedy,17,1.0,1.0,12,0,2.06
16,3,0.55,10.0,quench,243,0.9992,0.9167,12,320,11.04
16,3,0.55,10.0,solver,153,0.9995,0.75,12,0,10.58
16,3,0.55,10.0,pticm,1360,1.0,1.0,12,0,10.0
16,3,0.55,10.0,greedy,17,1.0,1.0,12,0,10.28
16,3,0.35,2.0,quench,128,1.0,1.0,6,128,5.25
16,3,0.35,2.0,solver,57,1.0,1.0,6,0,2.59
16,3,0.35,2.0,pticm,204,1.0,1.0,6,0,2.0
16,3,0.35,2.0,greedy,17,1.0,1.0,6,0,2.05
16,3,0.35,10.0,quench,168,1.0,1.0,6,256,10.17
16,3,0.35,10.0,solver,75,1.0,1.0,6,0,10.02
16,3,0.35,10.0,pticm,617,1.0,1.0,6,0,10.0
16,3,0.35,10.0,greedy,17,1.0,1.0,6,0,10.33
20,1,0.55,2.0,quench,64,0.9944,0.7368,19,64,100.86
20,1,0.55,2.0,solver,3,0.888,0.0526,19,0,2.07
20,1,0.55,2.0,pticm,313,0.9987,0.9474,19,0,2.0
20,1,0.55,2.0,greedy,34,1.0,1.0,19,0,2.05
20,1,0.55,10.0,quench,64,0.9938,0.6842,19,64,73.91
20,1,0.55,10.0,solver,1,0.888,0.0526,19,0,10.64
20,1,0.55,10.0,pticm,1181,1.0,1.0,19,0,10.0
20,1,0.55,10.0,greedy,34,1.0,1.0,19,0,10.34
20,1,0.35,2.0,quench,64,1.0,1.0,9,64,100.63
20,1,0.35,2.0,solver,1,0.988,0.1111,9,0,2.02
20,1,0.35,2.0,pticm,239,1.0,1.0,9,0,2.0
20,1,0.35,2.0,greedy,34,1.0,1.0,9,0,2.06
20,1,0.35,10.0,quench,64,1.0,1.0,9,64,107.61
20,1,0.35,10.0,solver,1,0.988,0.1111,9,0,11.5
20,1,0.35,10.0,pticm,1077,1.0,1.0,9,0,10.0
20,1,0.35,10.0,greedy,34,1.0,1.0,9,0,10.29
20,2,0.55,2.0,quench,64,0.9462,0.5667,30,64,109.28
20,2,0.55,2.0,solver,19,0.5342,0.1667,30,0,2.53
20,2,0.55,2.0,pticm,260,0.9898,0.8333,30,0,2.0
20,2,0.55,2.0,greedy,35,1.0,1.0,30,0,2.04
20,2,0.55,10.0,quench,64,0.9736,0.5667,30,64,74.8
20,2,0.55,10.0,solver,6,0.5805,0.1,30,0,11.38
20,2,0.55,10.0,pticm,1161,0.9996,0.9,30,0,10.0
20,2,0.55,10.0,greedy,35,1.0,1.0,30,0,10.26
20,2,0.35,2.0,quench,64,0.9906,0.85,20,64,77.43
20,2,0.35,2.0,solver,3,0.6296,0.1,20,0,2.92
20,2,0.35,2.0,pticm,301,1.0,1.0,20,0,2.0
20,2,0.35,2.0,greedy,35,1.0,1.0,20,0,2.04
20,2,0.35,10.0,quench,64,0.9725,0.8,20,64,75.36
20,2,0.35,10.0,solver,12,0.6814,0.2,20,0,10.55
20,2,0.35,10.0,pticm,1294,1.0,1.0,20,0,10.0
20,2,0.35,10.0,greedy,35,1.0,1.0,20,0,10.35
20,3,0.55,2.0,quench,64,0.8412,0.4744,78,64,33.74
20,3,0.55,2.0,solver,97,0.6106,0.2949,78,0,2.0
20,3,0.55,2.0,pticm,237,0.9671,0.7308,78,0,2.0
20,3,0.55,2.0,greedy,80,1.0,1.0,78,0,2.03
20,3,0.55,10.0,quench,64,0.8173,0.4615,78,64,47.55
20,3,0.55,10.0,solver,25,0.4914,0.0513,78,0,10.11
20,3,0.55,10.0,pticm,1348,0.9999,0.9744,78,0,10.0
20,3,0.55,10.0,greedy,80,1.0,1.0,78,0,10.3
20,3,0.35,2.0,quench,64,0.9495,0.5152,66,64,33.88
20,3,0.35,2.0,solver,1,0.0205,0.0152,66,0,2.32
20,3,0.35,2.0,pticm,314,0.9981,0.8485,66,0,2.0
20,3,0.35,2.0,greedy,80,1.0,1.0,66,0,2.06
20,3,0.35,10.0,quench,64,0.9354,0.5152,66,64,48.52
20,3,0.35,10.0,solver,48,0.7921,0.1061,66,0,10.22
20,3,0.35,10.0,pticm,1231,0.9998,0.9697,66,0,10.0
20,3,0.35,10.0,greedy,80,1.0,1.0,66,0,10.29
